"","real_delay","schedule_arrival_time","predicted_delay","predict_percentage_error","predict_error"
"1",118,"2018-05-21 16:50:00",291.088306063523,1.46685005138578,-173.088306063523
"2",172,"2018-05-21 17:33:00",301.841764163051,0.754893977692159,-129.841764163051
"3",318,"2018-05-23 16:31:00",168.467737559017,0.470227240380451,149.532262440983
"4",225,"2018-05-25 17:14:00",239.609431823549,0.0649308081046615,-14.6094318235488
"5",1,"2018-05-24 17:05:00",778.009900990099,777.009900990099,-777.009900990099
"6",0,"2018-05-24 09:42:00",231.445464663328,Inf,-231.445464663328
"7",-15,"2018-05-23 08:06:00",145.098987259066,10.673265817271,-160.098987259066
"8",414,"2018-05-23 17:13:00",1267.52925531915,2.06166486792065,-853.529255319149
"9",-8,"2018-05-24 08:00:00",230.322434999222,29.7903043749027,-238.322434999222
"10",-15,"2018-05-24 15:03:00",458.83216168717,31.5888107791447,-473.83216168717
"11",222,"2018-05-23 18:13:00",218.810407873586,0.0143675321009619,3.18959212641354
"12",632,"2018-05-22 17:11:00",322.167575450165,0.490241178085182,309.832424549835
"13",524,"2018-05-23 08:06:00",360.3822333724,0.312247646235879,163.6177666276
"14",524,"2018-05-21 16:13:00",229.830387430816,0.561392390399206,294.169612569184
"15",32,"2018-05-21 10:47:00",21.4665503199535,0.329170302501454,10.5334496800465
"16",102,"2018-05-21 16:29:00",325.347993691957,2.18968621266625,-223.347993691957
"17",0,"2018-05-23 15:11:00",46.6336391130157,Inf,-46.6336391130157
"18",0,"2018-05-21 14:15:00",202.608212809917,Inf,-202.608212809917
"19",9,"2018-05-21 15:08:00",269.05960683486,28.89551187054,-260.05960683486
"20",245,"2018-05-23 07:48:00",299.69786622276,0.223256596827593,-54.6978662227603
"21",1566,"2018-05-22 11:08:00",575.74441943781,0.632347114024387,990.25558056219
"22",288,"2018-05-22 11:53:00",285.581657243489,0.00839702346010856,2.41834275651127
"23",301,"2018-05-24 08:45:00",333.215832854131,0.107029345030335,-32.2158328541307
"24",443,"2018-05-24 18:03:00",1067.53055742109,1.40977552465257,-624.530557421088
"25",0,"2018-05-21 15:19:00",258.983333333333,Inf,-258.983333333333
"26",3,"2018-05-23 06:53:00",398.439494260522,131.813164753507,-395.439494260522
"27",451,"2018-05-23 09:41:00",639.434463845982,0.417814775711711,-188.434463845982
"28",12,"2018-05-23 15:59:00",301.841764163051,24.153480346921,-289.841764163051
"29",81,"2018-05-23 08:08:00",145.564280807163,0.79708988650819,-64.5642808071634
"30",122,"2018-05-24 17:38:00",185.314640930389,0.518972466642531,-63.3146409303888
"31",27,"2018-05-25 17:24:00",264.700905367536,8.80373723583467,-237.700905367536
"32",83,"2018-05-25 07:47:00",126.55160702452,0.524718156921922,-43.5516070245196
"33",238,"2018-05-24 17:24:00",397.865131717155,0.671702234105692,-159.865131717155
"34",-45,"2018-05-25 07:28:00",408.182156133829,10.0707145807518,-453.182156133829
"35",73,"2018-05-24 18:47:00",463.803367084057,5.35347078197339,-390.803367084057
"36",468,"2018-05-23 16:12:00",377.34373490484,0.193709968152051,90.6562650951599
"37",846,"2018-05-24 16:18:00",551.05603221067,0.348633531665874,294.94396778933
"38",-32,"2018-05-23 07:03:00",613.149968001138,20.1609365000356,-645.149968001138
"39",52,"2018-05-25 08:57:00",451.375946254139,7.68030665873344,-399.375946254139
"40",-5,"2018-05-24 06:43:00",385.752253810989,78.1504507621979,-390.752253810989
"41",146,"2018-05-22 07:30:00",458.83216168717,2.14268603895322,-312.83216168717
"42",0,"2018-05-24 16:36:00",21.4183386030469,Inf,-21.4183386030469
"43",195,"2018-05-24 17:39:00",400.015706570657,1.05136259779824,-205.015706570657
"44",360,"2018-05-25 15:55:00",166.519315403423,0.537446346101603,193.480684596577
"45",301,"2018-05-22 16:06:00",578.764367245658,0.922805206796205,-277.764367245658
"46",112,"2018-05-25 18:12:00",377.34373490484,2.36914049022179,-265.34373490484
"47",0,"2018-05-24 19:02:00",399.281008216615,Inf,-399.281008216615
"48",123,"2018-05-21 10:54:00",279.781178940003,1.27464373121954,-156.781178940003
"49",0,"2018-05-25 15:53:00",613.149968001138,Inf,-613.149968001138
"50",0,"2018-05-24 18:07:00",364.861908382437,Inf,-364.861908382437
"51",187,"2018-05-25 13:13:00",355.481901439163,0.900972734968784,-168.481901439163
"52",535,"2018-05-24 15:16:00",312.521540880503,0.415847587139246,222.478459119497
"53",430,"2018-05-24 13:53:00",349.57020851819,0.187046026701884,80.4297914818101
"54",-54,"2018-05-23 14:44:00",271.915314772581,6.03546879208483,-325.915314772581
"55",47,"2018-05-25 10:19:00",547.376469967832,10.646307871656,-500.376469967832
"56",44,"2018-05-24 14:36:00",219.476447497547,3.9881010794897,-175.476447497547
"57",65,"2018-05-22 06:01:00",241.305026537621,2.71238502365571,-176.305026537621
"58",614,"2018-05-22 09:10:00",363.088732394366,0.408650272973345,250.911267605634
"59",43,"2018-05-25 15:07:00",-10.972972972973,1.25518541797612,53.972972972973
"60",150,"2018-05-25 14:46:00",647.497509088461,3.31665006058974,-497.497509088461
"61",-57,"2018-05-25 06:17:00",334.490889515509,6.86826121957033,-391.490889515509
"62",500,"2018-05-22 15:23:00",662.761264793954,0.325522529587908,-162.761264793954
"63",232,"2018-05-25 16:41:00",279.781178940003,0.205953357500015,-47.7811789400035
"64",-86,"2018-05-21 13:31:00",71.7901865576284,1.83476961113521,-157.790186557628
"65",494,"2018-05-25 16:22:00",330.842896372308,0.330277537707878,163.157103627692
"66",0,"2018-05-25 14:25:00",177.398373877891,Inf,-177.398373877891
"67",732,"2018-05-21 14:11:00",460.045289726271,0.371522828242799,271.954710273729
