"","real_delay","schedule_arrival_time","predicted_delay","predict_percentage_error","predict_error"
"1",-7,"2018-05-27 22:42:00",89.7578304048892,13.8225472006985,-96.7578304048892
"2",233,"2018-05-26 20:24:00",381.976534480992,0.639384268158764,-148.976534480992
"3",0,"2018-05-27 20:09:00",192.995767435151,Inf,-192.995767435151
"4",236,"2018-05-27 18:13:00",237.541866195546,0.00653333133705953,-1.54186619554605
"5",145,"2018-05-26 06:25:00",263.091400607759,0.814423452467302,-118.091400607759
"6",12,"2018-05-26 06:05:00",290.14615499925,23.1788462499375,-278.14615499925
"7",127,"2018-05-26 05:51:00",246.121893518306,0.937967665498471,-119.121893518306
"8",226,"2018-05-26 23:42:00",261.776997659646,0.158305299378963,-35.7769976596456
"9",78,"2018-05-27 18:03:00",271.010086565894,2.47448828930633,-193.010086565894
"10",117,"2018-05-27 06:55:00",254.662878637893,1.17660580032388,-137.662878637893
"11",-32,"2018-05-27 05:19:00",297.558720490115,10.2987100153161,-329.558720490115
"12",-144,"2018-05-26 05:51:00",237.541866195546,2.64959629302463,-381.541866195546
"13",0,"2018-05-27 05:06:00",139.007821883697,Inf,-139.007821883697
"14",-18,"2018-05-27 05:27:00",214.874376824613,12.9374653791451,-232.874376824613
"15",94,"2018-05-26 19:03:00",301.841764163051,2.21108259747927,-207.841764163051
"16",-13,"2018-05-27 00:02:00",460.045289726271,36.3880992097131,-473.045289726271
"17",267,"2018-05-26 20:39:00",299.69786622276,0.122463918437304,-32.6978662227603
"18",51,"2018-05-27 20:53:00",192.474481759183,2.7740094462585,-141.474481759183
"19",-16,"2018-05-27 00:53:00",69.170105967652,5.32313162297825,-85.170105967652
"20",0,"2018-05-26 23:43:00",725.9029244114,Inf,-725.9029244114
"21",0,"2018-05-26 00:17:00",2621.48279873691,Inf,-2621.48279873691
"22",24,"2018-05-26 21:08:00",326.725726189099,12.6135719245458,-302.725726189099
"23",50,"2018-05-26 19:15:00",353.32383386028,6.0664766772056,-303.32383386028
"24",255,"2018-05-26 23:12:00",271.010086565894,0.0627846531995844,-16.010086565894
"25",71,"2018-05-27 20:06:00",185.314640930389,1.61006536521674,-114.314640930389
"26",-93,"2018-05-26 06:18:00",126.55160702452,2.36076996800559,-219.55160702452
"27",-8,"2018-05-26 22:12:00",93.9284347550962,12.741054344387,-101.928434755096
"28",264,"2018-05-26 18:38:00",371.666703233749,0.407828421339958,-107.666703233749
"29",-34,"2018-05-26 05:47:00",74.2350532350532,3.18338391867804,-108.235053235053
"30",0,"2018-05-26 06:01:00",119.09731509104,Inf,-119.09731509104
"31",104,"2018-05-26 18:38:00",411.376830377444,2.95554644593696,-307.376830377444
"32",273,"2018-05-27 00:11:00",819.580686149936,2.00212705549427,-546.580686149936
"33",-8,"2018-05-27 21:02:00",115.041263700838,15.3801579626048,-123.041263700838
"34",241,"2018-05-26 19:35:00",190.174510659665,0.210894146640394,50.825489340335
"35",0,"2018-05-27 06:13:00",358.916783543712,Inf,-358.916783543712
"36",18,"2018-05-26 06:32:00",399.567409384947,21.1981894102748,-381.567409384947
"37",-19,"2018-05-27 21:29:00",514.532386126201,28.080651901379,-533.532386126201
"38",51,"2018-05-27 18:31:00",254.662878637893,3.9933897772136,-203.662878637893
"39",20,"2018-05-26 06:02:00",236.128044526441,10.8064022263221,-216.128044526441
"40",1,"2018-05-26 05:35:00",153.338453142055,152.338453142055,-152.338453142055
"41",131,"2018-05-27 22:51:00",133.983994701694,0.0227785855091171,-2.98399470169434
"42",180,"2018-05-26 04:52:00",291.088306063523,0.617157255908459,-111.088306063523
"43",0,"2018-05-26 18:11:00",93.9284347550962,Inf,-93.9284347550962
"44",187,"2018-05-26 23:25:00",359.122512892639,0.920441245415184,-172.122512892639
"45",0,"2018-05-27 05:05:00",193.800303907381,Inf,-193.800303907381
"46",-64,"2018-05-27 06:03:00",201.151367405675,4.14299011571367,-265.151367405675
"47",25,"2018-05-27 01:46:00",271.05581637976,9.8422326551904,-246.05581637976
"48",-13,"2018-05-27 20:52:00",221.018142219318,18.0013955553322,-234.018142219318
"49",-225,"2018-05-26 05:46:00",451.375946254139,3.00611531668506,-676.375946254139
"50",143,"2018-05-26 22:27:00",556.406958726581,2.89095775333274,-413.406958726581
"51",24,"2018-05-26 18:29:00",319.803332884086,12.3251388701703,-295.803332884086
"52",935,"2018-05-26 20:35:00",179.536108505087,0.807982771652314,755.463891494913
"53",-151,"2018-05-27 18:07:00",161.381140193618,2.06874927280542,-312.381140193618
"54",239,"2018-05-26 06:09:00",95.9903263403263,0.598366835396124,143.009673659674
"55",0,"2018-05-27 20:01:00",119.09731509104,Inf,-119.09731509104
"56",-64,"2018-05-27 22:50:00",219.4117701065,4.42830890791407,-283.4117701065
"57",155,"2018-05-27 21:08:00",282.672147385103,0.823691273452278,-127.672147385103
"58",237,"2018-05-26 20:06:00",579.340148472679,1.44447320030666,-342.340148472679
"59",593,"2018-05-27 19:36:00",271.010086565894,0.542984676954647,321.989913434106
"60",273,"2018-05-27 18:22:00",190.174510659665,0.303390070843718,82.825489340335
"61",-3,"2018-05-26 06:06:00",285.34456960089,96.11485653363,-288.34456960089
"62",1191,"2018-05-26 22:59:00",256.546616119068,0.784595620387013,934.453383880932
