"","real_delay","schedule_arrival_datetime","predicted_delay","predicted_percentage_error","predict_error"
"1",23,"2018-05-26 23:58:00",144,5.26086956521739,-121
"2",113,"2018-05-27 01:06:00",113,0,0
"3",10,"2018-05-26 01:31:00",259.907407407407,24.9907407407407,-249.907407407407
"4",204,"2018-05-27 01:02:00",85.8695652173913,0.579070758738278,118.130434782609
"5",186,"2018-05-26 00:13:00",107.359375,0.422799059139785,78.640625
"6",80,"2018-05-27 01:06:00",68.65,0.141875,11.35
"7",386,"2018-05-26 02:15:00",240.615384615385,0.376644081307294,145.384615384615
"8",124,"2018-05-27 23:35:00",158.252747252747,0.276231832683445,-34.2527472527472
"9",0,"2018-05-27 02:17:00",107.601769911504,NA,-107.601769911504
"10",0,"2018-05-26 03:02:00",17.3728813559322,NA,-17.3728813559322
"11",105,"2018-05-27 00:47:00",8.87692307692308,0.915457875457875,96.1230769230769
"12",523,"2018-05-26 00:34:00",406.169811320755,0.223384681987085,116.830188679245
"13",114,"2018-05-27 00:15:00",91.4675324675325,0.197653223969013,22.5324675324675
"14",425,"2018-05-26 01:00:00",283.9,0.332,141.1
"15",-22,"2018-05-27 00:27:00",171.051724137931,8.77507836990596,-193.051724137931
"16",71,"2018-05-26 02:32:00",84.1891891891892,0.185763228016749,-13.1891891891892
"17",-6,"2018-05-27 23:54:00",149.75,25.9583333333333,-155.75
"18",-63,"2018-05-26 02:52:00",24.6538461538462,1.39133089133089,-87.6538461538462
"19",48,"2018-05-27 23:25:00",42.9672131147541,0.104849726775956,5.0327868852459
"20",242,"2018-05-27 01:50:00",92.025641025641,0.619728756092392,149.974358974359
"21",380,"2018-05-26 02:04:00",103.027027027027,0.728876244665718,276.972972972973
"22",252,"2018-05-27 00:46:00",88.8947368421053,0.647243107769424,163.105263157895
"23",155,"2018-05-27 23:54:00",87.271186440678,0.436960087479497,67.728813559322
"24",132,"2018-05-26 01:20:00",230.740740740741,0.748035914702581,-98.7407407407407
"25",75,"2018-05-27 02:46:00",98.945945945946,0.319279279279279,-23.945945945946
"26",149,"2018-05-27 01:51:00",0,1,149
"27",114,"2018-05-27 01:49:00",12.646511627907,0.8890656874745,101.353488372093
"28",0,"2018-05-27 00:35:00",42.6704545454545,NA,-42.6704545454545
"29",18,"2018-05-27 00:55:00",106.551020408163,4.91950113378685,-88.5510204081633
"30",84,"2018-05-26 01:20:00",43.7368421052632,0.479323308270677,40.2631578947368
"31",0,"2018-05-26 01:32:00",NA,NA,NA
"32",261,"2018-05-25 23:58:00",348.210526315789,0.334139947570075,-87.2105263157895
"33",13,"2018-05-25 03:10:00",69.1290322580645,4.31761786600496,-56.1290322580645
"34",162,"2018-05-25 03:02:00",21.3541666666667,0.868184156378601,140.645833333333
"35",56,"2018-05-27 00:34:00",292.076923076923,4.21565934065934,-236.076923076923
"36",47,"2018-05-27 01:05:00",57.448275862069,0.222303741746148,-10.448275862069
"37",40,"2018-05-27 01:26:00",96.6,1.415,-56.6
"38",206,"2018-05-27 23:36:00",197.351351351351,0.0419837313041196,8.64864864864865
"39",54,"2018-05-27 23:23:00",74.530612244898,0.380196523053666,-20.530612244898
"40",267,"2018-05-27 00:06:00",163.863636363636,0.386278515491999,103.136363636364
"41",28,"2018-05-27 01:55:00",24.6933333333333,0.118095238095238,3.30666666666667
"42",32,"2018-05-27 00:37:00",-42,2.3125,74
"43",0,"2018-05-25 03:26:00",13.6417910447761,NA,-13.6417910447761
