"","real_delay","schedule_arrival_datetime","predicted_delay","predicted_percentage_error","predict_error"
"1",42,"2018-05-27 10:40:00",69.75,0.660714285714286,-27.75
"2",31,"2018-05-26 09:23:00",364.222551928783,10.7491145783479,-333.222551928783
"3",255,"2018-05-26 15:41:00",268.865497076023,0.0543744983373467,-13.8654970760234
"4",-15,"2018-05-27 14:40:00",2419.00653594771,162.267102396514,-2434.00653594771
"5",20,"2018-05-26 09:20:00",58.9375,1.946875,-38.9375
"6",3,"2018-05-26 17:05:00",607.236686390533,201.412228796844,-604.236686390533
"7",719,"2018-05-26 15:57:00",526.031026252983,0.268385220788618,192.968973747017
"8",323,"2018-05-26 13:09:00",314.251572327044,0.0270849153961486,8.74842767295598
"9",86,"2018-05-26 10:27:00",82.65,0.038953488372093,3.34999999999999
"10",20,"2018-05-27 07:27:00",NA,NA,NA
"11",15,"2018-05-26 16:14:00",12.375,0.175,2.625
"12",-37,"2018-05-26 08:27:00",NA,NA,NA
"13",83,"2018-05-27 16:28:00",818.01808318264,8.85563955641735,-735.01808318264
"14",0,"2018-05-27 07:30:00",9.64056939501779,Inf,-9.64056939501779
"15",208,"2018-05-26 08:55:00",443.438775510204,1.1319171899529,-235.438775510204
"16",48,"2018-05-27 08:10:00",-9.22222222222222,1.19212962962963,57.2222222222222
"17",0,"2018-05-27 13:39:00",37.6733067729084,Inf,-37.6733067729084
"18",295,"2018-05-27 18:29:00",662.990990990991,1.24742708810505,-367.990990990991
"19",85,"2018-05-27 17:03:00",754.3,7.87411764705882,-669.3
"20",379,"2018-05-27 17:23:00",883.05376344086,1.32995715947457,-504.05376344086
"21",187,"2018-05-26 18:18:00",-31.0882352941176,1.16624724756213,218.088235294118
"22",263,"2018-05-26 13:53:00",228.177142857143,0.132406300923411,34.8228571428571
"23",28,"2018-05-26 08:05:00",473.913043478261,15.9254658385093,-445.913043478261
"24",262,"2018-05-27 13:07:00",277.454545454545,0.0589868147120055,-15.4545454545454
"25",-43,"2018-05-26 15:09:00",211.263565891473,5.91310618352262,-254.263565891473
"26",0,"2018-05-26 16:06:00",16.2405498281787,Inf,-16.2405498281787
"27",1976,"2018-05-27 09:11:00",379.051546391753,0.808172294336158,1596.94845360825
"28",70,"2018-05-26 14:36:00",19.6071428571429,0.719897959183673,50.3928571428571
"29",986,"2018-05-26 16:14:00",429.457142857143,0.56444508838018,556.542857142857
"30",0,"2018-05-27 15:20:00",165.074168797954,Inf,-165.074168797954
"31",52,"2018-05-26 17:01:00",339.33,5.52557692307692,-287.33
"32",-57,"2018-05-27 06:56:00",54.4461538461538,1.95519568151147,-111.446153846154
"33",109,"2018-05-27 14:38:00",137.323232323232,0.259846168103049,-28.3232323232323
"34",270,"2018-05-27 18:29:00",1115.43925233645,3.13125649013499,-845.439252336449
"35",0,"2018-05-26 10:51:00",146.378787878788,Inf,-146.378787878788
"36",60,"2018-05-27 14:57:00",238.568862275449,2.97614770459082,-178.568862275449
"37",-37,"2018-05-26 09:39:00",18.5555555555556,1.5015015015015,-55.5555555555556
"38",0,"2018-05-26 18:19:00",810.928571428571,Inf,-810.928571428571
"39",970,"2018-05-26 13:33:00",715,0.262886597938144,255
"40",0,"2018-05-26 16:46:00",172.18085106383,Inf,-172.18085106383
"41",0,"2018-05-27 10:39:00",58.5096525096525,Inf,-58.5096525096525
"42",126,"2018-05-26 12:19:00",86.9615384615385,0.30982905982906,39.0384615384615
"43",685,"2018-05-26 14:20:00",101.212048192771,0.852245185120042,583.787951807229
"44",134,"2018-05-26 18:15:00",996.882521489971,6.43942180216397,-862.882521489971
"45",75,"2018-05-26 16:28:00",132.117346938776,0.76156462585034,-57.1173469387755
"46",235,"2018-05-26 08:14:00",155.4425,0.338542553191489,79.5575
"47",212,"2018-05-26 13:14:00",314.064516129032,0.481436396835058,-102.064516129032
"48",-13,"2018-05-26 10:26:00",16.4166666666667,2.26282051282051,-29.4166666666667
"49",22,"2018-05-26 08:21:00",611.845238095238,26.8111471861472,-589.845238095238
"50",0,"2018-05-26 11:04:00",229.515306122449,Inf,-229.515306122449
"51",-7,"2018-05-26 07:22:00",141.402173913043,21.2003105590062,-148.402173913043
"52",672,"2018-05-26 13:44:00",305.111111111111,0.545965608465608,366.888888888889
"53",268,"2018-05-26 15:08:00",200.946808510638,0.250198475706573,67.0531914893617
"54",58,"2018-05-27 18:06:00",258.826666666667,3.46252873563218,-200.826666666667
"55",241,"2018-05-27 12:02:00",562.538461538462,1.33418448771146,-321.538461538462
"56",48,"2018-05-27 10:59:00",284,4.91666666666667,-236
"57",298,"2018-05-26 17:54:00",1032.36866359447,2.46432437447809,-734.36866359447
"58",110,"2018-05-27 11:11:00",357.957345971564,2.25415769065058,-247.957345971564
"59",91,"2018-05-26 10:42:00",31.3064516129032,0.655973059198866,59.6935483870968
"60",105,"2018-05-26 08:25:00",66.3846153846154,0.367765567765568,38.6153846153846
"61",14,"2018-05-27 13:33:00",154.809090909091,10.0577922077922,-140.809090909091
"62",19,"2018-05-26 14:13:00",146.466666666667,6.70877192982456,-127.466666666667
"63",341,"2018-05-27 13:18:00",102.188715953307,0.700326346177984,238.811284046693
"64",77,"2018-05-26 08:41:00",153.666666666667,0.995670995670996,-76.6666666666667
"65",18,"2018-05-26 10:30:00",428.263736263736,22.7924297924298,-410.263736263736
"66",247,"2018-05-27 15:34:00",325.508287292818,0.31784731697497,-78.5082872928177
"67",1,"2018-05-26 17:32:00",115.031578947368,114.031578947368,-114.031578947368
"68",0,"2018-05-26 07:45:00",378.816666666667,Inf,-378.816666666667
"69",50,"2018-05-27 08:23:00",85.3372093023256,0.706744186046512,-35.3372093023256
"70",38,"2018-05-27 11:03:00",373.518987341772,8.82944703530979,-335.518987341772
"71",-48,"2018-05-27 14:50:00",116.728,3.43183333333333,-164.728
"72",-14,"2018-05-26 08:29:00",349.585542168675,25.970395869191,-363.585542168675
"73",433,"2018-05-26 12:38:00",139.836206896552,0.677052639961774,293.163793103448
"74",0,"2018-05-27 15:51:00",128.08125,Inf,-128.08125
"75",74,"2018-05-27 15:36:00",61.887323943662,0.163684811572136,12.112676056338
"76",8,"2018-05-27 11:29:00",151.211229946524,17.9014037433155,-143.211229946524
