"","real_delay","schedule_arrival_datetime","predicted_delay","predicted_percentage_error","predict_error"
"1",118,"2018-05-21 16:50:00",92.2947368421053,0.217841213202498,25.7052631578947
"2",172,"2018-05-21 17:33:00",169.698324022346,0.0133818370793817,2.30167597765364
"3",318,"2018-05-23 16:31:00",483.272058823529,0.519723455419904,-165.272058823529
"4",225,"2018-05-25 17:14:00",838.894736842105,2.72842105263158,-613.894736842105
"5",1,"2018-05-24 17:05:00",863.269736842105,862.269736842105,-862.269736842105
"6",0,"2018-05-24 09:42:00",378.266666666667,Inf,-378.266666666667
"7",-15,"2018-05-23 08:06:00",60.8235294117647,5.05490196078431,-75.8235294117647
"8",414,"2018-05-23 17:13:00",2656.80882352941,5.4174126172208,-2242.80882352941
"9",-8,"2018-05-24 08:00:00",30.2985074626866,4.78731343283582,-38.2985074626866
"10",-15,"2018-05-24 15:03:00",298.082802547771,20.872186836518,-313.082802547771
"11",222,"2018-05-23 18:13:00",510.854700854701,1.3011473011473,-288.854700854701
"12",632,"2018-05-22 17:11:00",535.966666666667,0.151951476793249,96.0333333333333
"13",524,"2018-05-23 08:06:00",109.538461538462,0.790957134468585,414.461538461538
"14",524,"2018-05-21 16:13:00",298.957303370787,0.429470795093919,225.042696629213
"15",32,"2018-05-21 10:47:00",21.32,0.33375,10.68
"16",102,"2018-05-21 16:29:00",131.957142857143,0.293697478991597,-29.9571428571429
"17",0,"2018-05-23 15:11:00",23.6480938416422,Inf,-23.6480938416422
"18",0,"2018-05-21 14:15:00",1743.58064516129,Inf,-1743.58064516129
"19",9,"2018-05-21 15:08:00",472.131672597865,51.4590747330961,-463.131672597865
"20",245,"2018-05-23 07:48:00",211.260683760684,0.137711494854352,33.7393162393163
"21",1566,"2018-05-22 11:08:00",382.692708333333,0.755624068752661,1183.30729166667
"22",288,"2018-05-22 11:53:00",173.66,0.397013888888889,114.34
"23",301,"2018-05-24 08:45:00",333.715217391304,0.108688429871443,-32.7152173913043
"24",443,"2018-05-24 18:03:00",1647.54545454545,2.71906423147958,-1204.54545454545
"25",0,"2018-05-21 15:19:00",220.921739130435,Inf,-220.921739130435
"26",3,"2018-05-23 06:53:00",39.44,12.1466666666667,-36.44
"27",451,"2018-05-23 09:41:00",307.286585365854,0.318655021361744,143.713414634146
"28",12,"2018-05-23 15:59:00",404.359773371105,32.6966477809254,-392.359773371105
"29",81,"2018-05-23 08:08:00",125.81308411215,0.553247952001846,-44.8130841121495
"30",122,"2018-05-24 17:38:00",91.9089128305583,0.246648255487227,30.0910871694417
"31",27,"2018-05-25 17:24:00",377.983606557377,12.9993928354584,-350.983606557377
"32",83,"2018-05-25 07:47:00",101.280575539568,0.220247898067088,-18.2805755395683
"33",238,"2018-05-24 17:24:00",646.39336492891,1.71593850810466,-408.39336492891
"34",-45,"2018-05-25 07:28:00",93.8882352941176,3.08640522875817,-138.888235294118
"35",73,"2018-05-24 18:47:00",282.619791666667,2.87150399543379,-209.619791666667
"36",468,"2018-05-23 16:12:00",420.237037037037,0.102057613168724,47.7629629629629
"37",846,"2018-05-24 16:18:00",572.551063829787,0.323225692872592,273.448936170213
"38",-32,"2018-05-23 07:03:00",17.8990825688073,1.55934633027523,-49.8990825688073
"39",52,"2018-05-25 08:57:00",376.754208754209,6.24527324527325,-324.754208754209
"40",-5,"2018-05-24 06:43:00",63.3255813953488,13.6651162790698,-68.3255813953488
"41",146,"2018-05-22 07:30:00",105.632258064516,0.276491383119753,40.3677419354839
"42",0,"2018-05-24 16:36:00",117.214912280702,Inf,-117.214912280702
"43",195,"2018-05-24 17:39:00",394.585365853659,1.02351469668543,-199.585365853659
"44",360,"2018-05-25 15:55:00",337.32183908046,0.0629948914431673,22.6781609195402
"45",301,"2018-05-22 16:06:00",193.938461538462,0.355686174290825,107.061538461538
"46",112,"2018-05-25 18:12:00",368.292682926829,2.2883275261324,-256.292682926829
"47",0,"2018-05-24 19:02:00",14.4386920980926,Inf,-14.4386920980926
"48",123,"2018-05-21 10:54:00",172.698113207547,0.404049700874367,-49.6981132075472
"49",0,"2018-05-25 15:53:00",1072.31683168317,Inf,-1072.31683168317
"50",0,"2018-05-24 18:07:00",848.051948051948,Inf,-848.051948051948
"51",187,"2018-05-25 13:13:00",60.6626506024096,0.675600798917596,126.33734939759
"52",535,"2018-05-24 15:16:00",356.810810810811,0.333063905026522,178.189189189189
"53",430,"2018-05-24 13:53:00",201.291262135922,0.531880785730413,228.708737864078
"54",-54,"2018-05-23 14:44:00",69.0833333333333,2.27932098765432,-123.083333333333
"55",47,"2018-05-25 10:19:00",50.1052631578947,0.0660694288913774,-3.10526315789474
"56",44,"2018-05-24 14:36:00",145.555555555556,2.30808080808081,-101.555555555556
"57",65,"2018-05-22 06:01:00",29.4583333333333,0.546794871794872,35.5416666666667
"58",614,"2018-05-22 09:10:00",514.738853503185,0.161663105043673,99.2611464968153
"59",43,"2018-05-25 15:07:00",-41.3,1.96046511627907,84.3
"60",150,"2018-05-25 14:46:00",360.605042016807,1.40403361344538,-210.605042016807
"61",-57,"2018-05-25 06:17:00",41.241935483871,1.72354272778721,-98.241935483871
"62",500,"2018-05-22 15:23:00",326.472222222222,0.347055555555556,173.527777777778
"63",232,"2018-05-25 16:41:00",239.166666666667,0.0308908045977011,-7.16666666666666
"64",-86,"2018-05-21 13:31:00",-15.1236559139785,0.824143535883971,-70.8763440860215
"65",494,"2018-05-25 16:22:00",361.921568627451,0.267365245693419,132.078431372549
"66",0,"2018-05-25 14:25:00",8.24475524475525,Inf,-8.24475524475525
"67",732,"2018-05-21 14:11:00",1056.12213740458,0.442789805197514,-324.12213740458
"68",786,"2018-05-25 18:12:00",1403.81751824818,0.786027376906075,-617.817518248175
"69",0,"2018-05-22 06:01:00",41.4736842105263,Inf,-41.4736842105263
"70",11,"2018-05-22 06:12:00",13.3611111111111,0.214646464646465,-2.36111111111111
"71",647,"2018-05-23 07:50:00",431.131578947368,0.333645163914423,215.868421052632
"72",432,"2018-05-22 07:58:00",355.649635036496,0.176736955934036,76.3503649635036
"73",467,"2018-05-25 08:38:00",331.762162162162,0.289588517854042,135.237837837838
"74",527,"2018-05-23 17:18:00",629.879746835443,0.195217735930632,-102.879746835443
"75",2,"2018-05-23 13:48:00",70.0225563909774,34.0112781954887,-68.0225563909774
"76",322,"2018-05-21 15:35:00",NA,NA,NA
"77",1174,"2018-05-25 15:57:00",730.987951807229,0.377352681595205,443.012048192771
"78",-28,"2018-05-25 09:41:00",184.751879699248,7.59828141783029,-212.751879699248
"79",174,"2018-05-23 07:52:00",192.764227642276,0.107840388748715,-18.7642276422764
"80",0,"2018-05-24 18:51:00",514.55601659751,Inf,-514.55601659751
"81",-103,"2018-05-24 08:33:00",77.7407407407407,1.75476447321108,-180.740740740741
"82",-17,"2018-05-25 06:14:00",-31.6,0.858823529411765,14.6
"83",0,"2018-05-24 17:24:00",66.9306930693069,Inf,-66.9306930693069
"84",777,"2018-05-25 17:14:00",435.846153846154,0.439065439065439,341.153846153846
"85",283,"2018-05-23 07:10:00",238.072463768116,0.15875454498899,44.9275362318841
"86",-25,"2018-05-23 17:42:00",607.724252491694,25.3089700996678,-632.724252491694
"87",603,"2018-05-25 16:34:00",257.028248587571,0.573750831529734,345.971751412429
"88",352,"2018-05-24 15:56:00",378.416666666667,0.0750473484848485,-26.4166666666667
"89",325,"2018-05-24 17:09:00",866.881818181818,1.66732867132867,-541.881818181818
"90",196,"2018-05-22 15:26:00",177.056451612903,0.0966507570770243,18.9435483870968
"91",670,"2018-05-24 17:51:00",2111.10703363914,2.15090602035693,-1441.10703363914
"92",1241,"2018-05-23 09:14:00",574.623655913978,0.536967239392443,666.376344086022
"93",419,"2018-05-25 09:15:00",466.329479768786,0.112958185605695,-47.3294797687861
"94",1192,"2018-05-24 16:23:00",719.15873015873,0.396678917652072,472.84126984127
"95",654,"2018-05-23 08:44:00",248.183486238532,0.620514547035884,405.816513761468
"96",275,"2018-05-24 12:40:00",1306.675,3.75154545454545,-1031.675
"97",235,"2018-05-25 17:04:00",227.319587628866,0.0326826058346129,7.68041237113403
"98",234,"2018-05-25 18:13:00",262.666666666667,0.122507122507123,-28.6666666666667
"99",166,"2018-05-21 12:54:00",277.69696969697,0.672873311427528,-111.69696969697
"100",138,"2018-05-23 11:23:00",119.666666666667,0.132850241545894,18.3333333333333
