"","real_delay","schedule_arrival_datetime","predicted_delay","predicted_percentage_error","predict_error"
"1",-67,"2018-05-26 18:42:00",287.011904761905,5.28375977256574,-354.011904761905
"2",0,"2018-05-27 22:08:00",4.5,NA,-4.5
"3",50,"2018-05-27 08:32:00",300.231578947368,5.00463157894737,-250.231578947368
"4",110,"2018-05-27 11:52:00",269.854166666667,1.4532196969697,-159.854166666667
"5",13,"2018-05-26 07:14:00",-11,1.84615384615385,24
"6",0,"2018-05-27 14:56:00",61.3170731707317,NA,-61.3170731707317
"7",15,"2018-05-27 17:41:00",648.588,42.2392,-633.588
"8",292,"2018-05-27 19:21:00",145.1484375,0.502916309931507,146.8515625
"9",0,"2018-05-27 19:51:00",75.7164179104478,NA,-75.7164179104478
"10",54,"2018-05-27 15:02:00",77.7883817427386,0.440525587828492,-23.7883817427386
"11",48,"2018-05-26 13:44:00",144.920454545455,2.01917613636364,-96.9204545454545
"12",139,"2018-05-26 11:56:00",108.411764705882,0.220059246720271,30.5882352941177
"13",-116,"2018-05-27 10:05:00",379.538812785388,4.27188631711542,-495.538812785388
"14",113,"2018-05-26 12:39:00",163.625,0.448008849557522,-50.625
"15",0,"2018-05-27 19:36:00",77.3238866396761,NA,-77.3238866396761
"16",0,"2018-05-26 13:07:00",33,NA,-33
"17",106,"2018-05-26 09:16:00",690.827586206897,5.51724137931034,-584.827586206897
"18",139,"2018-05-27 09:25:00",808.528301886792,4.81675037328628,-669.528301886792
"19",4,"2018-05-27 16:13:00",357.95,88.4875,-353.95
"20",247,"2018-05-26 14:56:00",86.5921052631579,0.649424675047944,160.407894736842
"21",179,"2018-05-26 16:25:00",148,0.173184357541899,31
"22",41,"2018-05-27 14:36:00",115.438095238095,1.81556329849013,-74.4380952380952
"23",2479,"2018-05-26 16:51:00",1624.63461538462,0.344641139417259,854.365384615385
"24",38,"2018-05-27 10:00:00",302.621621621622,6.96372688477952,-264.621621621622
"25",3529,"2018-05-26 17:26:00",1282.91338582677,0.636465461652941,2246.08661417323
"26",97,"2018-05-27 12:03:00",234.461538461538,1.41712926249009,-137.461538461538
"27",14,"2018-05-27 05:35:00",43,2.07142857142857,-29
"28",138,"2018-05-27 06:10:00",82.0641025641026,0.405332590115199,55.9358974358974
"29",104,"2018-05-27 07:35:00",94.3563218390805,0.0927276746242263,9.64367816091954
"30",252,"2018-05-27 08:24:00",115.947976878613,0.539888980640426,136.052023121387
"31",71,"2018-05-27 08:52:00",444.454545454545,5.25992317541613,-373.454545454545
"32",369,"2018-05-26 19:40:00",820.733333333333,1.22420957542909,-451.733333333333
"33",161,"2018-05-26 15:39:00",225.07476635514,0.397979915249318,-64.0747663551402
"34",237,"2018-05-26 22:51:00",-4.5304347826087,1.01911575857641,241.530434782609
"35",28,"2018-05-26 19:02:00",374.292682926829,12.3675958188153,-346.292682926829
"36",0,"2018-05-26 22:11:00",118.493506493506,NA,-118.493506493506
"37",442,"2018-05-26 15:37:00",304.504132231405,0.311076623910848,137.495867768595
"38",-119,"2018-05-27 17:34:00",249.246987951807,3.0945125037967,-368.246987951807
"39",62,"2018-05-27 06:00:00",46.1333333333333,0.255913978494624,15.8666666666667
"40",70,"2018-05-27 20:49:00",-1.51136363636364,1.02159090909091,71.5113636363636
"41",78,"2018-05-26 21:25:00",23.3114754098361,0.701134930643127,54.6885245901639
"42",68,"2018-05-26 09:54:00",93.3008849557522,0.372071837584591,-25.3008849557522
"43",-83,"2018-05-27 20:34:00",-46.0952380952381,0.444635685599541,-36.9047619047619
"44",0,"2018-05-26 18:41:00",64.7638888888889,NA,-64.7638888888889
"45",164,"2018-05-26 10:09:00",20.2405063291139,0.876582278481013,143.759493670886
"46",83,"2018-05-26 12:43:00",209.479099678457,1.52384457443924,-126.479099678457
"47",834,"2018-05-27 12:59:00",415.111111111111,0.50226485478284,418.888888888889
"48",145,"2018-05-26 09:39:00",12.0862944162437,0.916646245405216,132.913705583756
"49",86,"2018-05-27 19:50:00",83.1111111111111,0.0335917312661498,2.88888888888889
"50",106,"2018-05-27 22:43:00",14.4705882352941,0.863485016648169,91.5294117647059
"51",467,"2018-05-26 11:37:00",384.763157894737,0.176096021638679,82.2368421052632
"52",160,"2018-05-27 20:52:00",77.9441340782123,0.512849162011173,82.0558659217877
"53",74,"2018-05-26 09:43:00",35.875,0.515202702702703,38.125
"54",177,"2018-05-27 14:36:00",210.84375,0.191207627118644,-33.84375
"55",0,"2018-05-26 11:51:00",-12.8478260869565,NA,12.8478260869565
"56",90,"2018-05-27 14:35:00",155.392857142857,0.726587301587302,-65.3928571428571
"57",-53,"2018-05-26 09:07:00",110.15,3.07830188679245,-163.15
"58",124,"2018-05-26 08:27:00",131.886178861789,0.0635982166273275,-7.88617886178861
"59",0,"2018-05-27 18:03:00",454.329113924051,NA,-454.329113924051
"60",52,"2018-05-27 14:14:00",137.191588785047,1.63829978432782,-85.1915887850467
"61",65,"2018-05-26 22:29:00",-9.94366197183099,1.15297941495125,74.943661971831
"62",130,"2018-05-26 19:10:00",252.252688172043,0.9404052936311,-122.252688172043
"63",-71,"2018-05-27 10:05:00",239.207207207207,4.36911559446771,-310.207207207207
"64",146,"2018-05-26 17:07:00",317.032,1.17145205479452,-171.032
"65",12,"2018-05-27 06:23:00",31,1.58333333333333,-19
"66",78,"2018-05-27 20:19:00",93.1,0.193589743589744,-15.1
"67",66,"2018-05-27 12:26:00",157.650793650794,1.38864838864839,-91.6507936507936
"68",13,"2018-05-27 08:25:00",56.4682080924855,3.34370831480658,-43.4682080924855
