"","real_delay","schedule_arrival_time","predicted_delay","predict_percentage_error","predict_error"
"1",101,"2018-05-21 22:39:00",53.0206422018349,0.475043146516487,47.9793577981651
"2",259,"2018-05-22 19:59:00",230.255080749489,0.110984244210468,28.7449192505112
"3",506,"2018-05-25 17:51:00",206.133600962214,0.592621341971908,299.866399037786
"4",346,"2018-05-23 18:37:00",798.964532019704,1.30914604629972,-452.964532019704
"5",27,"2018-05-21 22:13:00",411.376830377444,14.2361789028683,-384.376830377444
"6",32,"2018-05-22 20:30:00",285.740307101727,7.92938459692898,-253.740307101727
"7",-12,"2018-05-23 06:14:00",411.376830377444,35.2814025314537,-423.376830377444
"8",7365,"2018-05-24 16:40:00",410.098193760263,0.944317964187337,6954.90180623974
"9",19,"2018-05-25 05:18:00",325.801847324097,16.1474656486367,-306.801847324097
"10",1446,"2018-05-21 18:01:00",725.9029244114,0.497992445082019,720.0970755886
"11",611,"2018-05-24 22:28:00",411.376830377444,0.326715498563921,199.623169622556
"12",1403,"2018-05-22 17:53:00",826.74703394202,0.410729127625075,576.25296605798
"13",84711,"2018-05-22 03:20:00",62403.5131153432,0.263336365816209,22307.4868846568
"14",35,"2018-05-22 00:01:00",1275.48461538462,35.4424175824176,-1240.48461538462
"15",22,"2018-05-25 05:40:00",334.490889515509,14.204131341614,-312.490889515509
"16",-54,"2018-05-24 20:31:00",201.151367405675,4.72502532232731,-255.151367405675
"17",226,"2018-05-21 22:05:00",371.666703233749,0.644542934662606,-145.666703233749
"18",132,"2018-05-25 22:16:00",83.9480662983425,0.364029800770132,48.0519337016575
"19",89,"2018-05-25 05:25:00",115.041263700838,0.292598468548743,-26.0412637008382
"20",252,"2018-05-21 21:31:00",219.4117701065,0.129318372593253,32.5882298934998
"21",-40,"2018-05-25 20:20:00",279.094583278241,7.97736458195601,-319.094583278241
"22",-164,"2018-05-24 20:00:00",271.010086565894,2.65250052784082,-435.010086565894
"23",-28,"2018-05-22 06:49:00",162.907234686161,6.81811552450574,-190.907234686161
"24",98,"2018-05-25 20:35:00",143.592395437262,0.465228524870024,-45.5923954372624
"25",-86,"2018-05-23 20:03:00",414.285601265823,5.81727443332352,-500.285601265823
"26",0,"2018-05-24 19:36:00",99.1807513666817,Inf,-99.1807513666817
"27",-19,"2018-05-22 20:55:00",223.636141966947,12.7703232614182,-242.636141966947
"28",161,"2018-05-24 06:57:00",192.995767435151,0.19873147475249,-31.995767435151
"29",75,"2018-05-23 05:36:00",559.715997689864,6.46287996919819,-484.715997689864
"30",130,"2018-05-21 21:23:00",328.560591133005,1.52738916256158,-198.560591133005
"31",166,"2018-05-25 21:56:00",99.1842783505155,0.402504347286051,66.8157216494845
"32",92,"2018-05-23 19:54:00",192.995767435151,1.09778008081686,-100.995767435151
"33",35,"2018-05-24 19:04:00",640.722222222222,17.3063492063492,-605.722222222222
"34",51,"2018-05-25 04:58:00",458.83216168717,7.99670905268962,-407.83216168717
"35",-72,"2018-05-24 06:33:00",118.118225570203,2.64053091069726,-190.118225570203
"36",-63,"2018-05-24 06:45:00",299.250374812594,5.75000594940625,-362.250374812594
"37",63,"2018-05-22 19:42:00",271.010086565894,3.30174740580784,-208.010086565894
"38",34,"2018-05-22 06:16:00",387.959572978649,10.4105756758426,-353.959572978649
"39",1,"2018-05-22 06:04:00",229.490305280528,228.490305280528,-228.490305280528
"40",146,"2018-05-21 21:37:00",277.510456383593,0.900756550572557,-131.510456383593
"41",261,"2018-05-24 22:06:00",264.256519102486,0.0124770846838559,-3.25651910248638
"42",2,"2018-05-24 20:50:00",489.465091563113,243.732545781557,-487.465091563113
